Pulse number,UTC,Barycentred TOA (MJD),Telescope,Frequency (MHz),Peak flux density at freq (Jy),Peak flux density at 1 GHz (mJy),Fluence at freq (Jy s),Fluence at 1 GHz (Jy s)
1,1988-09-23 22:11,47427.92600,VLA,327,6.4,308,64,3.08
301475,2001-04-28 11:30,52027.48315,VLA,327,1.0,47,28,1.34
301480,2001-04-28 13:20,52027.55990,VLA,327,1.2,57,47,2.27
309643,2001-08-31 02:19,52152.10184,VLA,327,2.6,125,211,10.10
326338,2002-05-12 19:04,52406.80043,GMRT,240,3.4,93,245,6.63
326344,2002-05-12 21:15,52406.89149,GMRT,240,1.0,26,107,2.89
458391,2007-11-17 12:53,54421.53421,GMRT,240,4.4,120,210,5.67
459178,2007-11-29 13:06,54433.54160,GMRT,240,1.4,39,24,0.66
459179,2007-11-29 13:27,54433.55675,GMRT,240,1.5,42,114,3.09
460158,2007-12-14 11:57,54448.49375,GMRT,240,4.7,128,80,2.18
596692,2013-08-27 13:25,56531.56287,MWA,118,8.9,101,270,3.07
613363,2014-05-08 22:05,56785.92460,GMRT,322,1.0,46,43,1.98
629052,2015-01-03 07:05,57025.29156,GMRT,322,2.0,95,81,3.75
629059,2015-01-03 09:40,57025.39809,GMRT,322,1.8,85,14,0.63
629960,2015-01-17 03:32,57039.14477,GMRT,322,6.1,282,107,4.98
629967,2015-01-17 06:07,57039.25046,GMRT,322,0.7,35,3,0.14
707985,2018-04-21 13:26,58229.56424,VLITE,341,3.8,200,26,1.37
707985,2018-04-21 13:29,58229.56424,VLITE,341,3.8,200,26,1.37
711402,2018-06-12 16:11,58281.68106,MWA,154,1.8,27,101,1.48
711402,2018-06-12 16:13,58281.68106,MWA,185,1.8,27,101,1.48
776151,2021-02-24 13:37,59269.56489,VLITE,341,1.5,76,14,0.74
803613,2022-04-19 13:08,59688.55009,VLITE,341,1.0,53,22,1.14
804717,2022-05-06 08:59,59705.37894,VLITE,341,3.3,170,48,2.48
805501,2022-05-18 08:02,59717.33988,VLITE,341,0.7,39,9,0.49
805577,2022-05-19 11:52,59718.49964,VLITE,341,2.1,107,33,1.70
808341,2022-06-30 15:51,59760.66994,MWA,200,3.4,69,45,0.93
808342,2022-06-30 16:16,59760.68470,MWA,201,2.0,42,34,0.69
809255,2022-07-14 14:36,59774.61467,MWA,200,1.4,29,45,0.92
809256,2022-07-14 14:56,59774.62898,MWA,200,1.6,33,49,1.01
809320,2022-07-15 14:24,59775.60647,MWA,155,1.7,24,22,0.33
809321,2022-07-15 14:44,59775.62127,MWA,185,8.7,159,201,3.68
809322,2022-07-15 15:03,59775.63616,MWA,216,3.3,74,31,0.71
809322,2022-07-15 15:08,59775.63616,MWA,155,3.3,74,31,0.71
809326,2022-07-15 16:32,59775.69840,MWA,216,2.4,56,95,2.17
809326,2022-07-15 16:37,59775.69840,MWA,155,2.4,56,95,2.17
809327,2022-07-15 16:52,59775.71247,MWA,155,3.2,47,63,0.93
809327,2022-07-15 16:57,59775.71247,MWA,185,3.2,47,63,0.93
809446,2022-07-17 12:28,59777.52859,MWA,216,3.3,76,-0,-0.00
809446,2022-07-17 12:30,59777.52859,Murriyang,1792,3.3,76,-0,-0.00
809446,2022-07-17 12:33,59777.52859,MWA,155,3.3,76,-0,-0.00
809447,2022-07-17 12:52,59777.54308,MWA,185,2.5,46,40,0.74
809661,2022-07-20 19:01,59780.80848,MeerKAT,813,0.0,18,-0,-0.01
809661,2022-07-20 19:11,59780.80848,MeerKAT,807,0.0,18,-0,-0.01
809779,2022-07-22 14:27,59782.60850,MWA,154,1.2,17,20,0.29
809780,2022-07-22 14:47,59782.62433,MWA,118,10.3,117,233,2.64
809780,2022-07-22 14:51,59782.62433,MWA,154,10.3,117,233,2.64
809781,2022-07-22 15:11,59782.63932,MWA,119,2.8,32,118,1.34
809846,2022-07-23 14:57,59783.63143,MWA,216,13.2,302,-131,-2.99
809846,2022-07-23 15:02,59783.63143,MWA,88,13.2,302,-131,-2.99
809847,2022-07-23 15:17,59783.64589,MWA,185,2.0,36,65,1.19
809847,2022-07-23 15:22,59783.64589,MWA,216,2.0,36,65,1.19
809973,2022-07-25 13:26,59785.56789,MWA,154,1.3,20,-5,-0.07
810234,2022-07-29 13:05,59789.55110,MWA,118,8.7,99,362,4.11
810235,2022-07-29 13:25,59789.56591,MWA,88,5.1,48,414,3.91
810300,2022-07-30 13:11,59790.55783,MWA,185,6.1,112,156,2.85
810300,2022-07-30 13:16,59790.55783,MWA,216,6.1,112,156,2.85
810301,2022-07-30 13:31,59790.57236,MWA,154,3.3,48,109,1.59
810301,2022-07-30 13:36,59790.57236,MWA,185,3.3,48,109,1.59
810305,2022-07-30 15:04,59790.63353,MWA,185,2.2,40,53,0.97
810306,2022-07-30 15:23,59790.64929,MWA,185,2.8,52,84,1.53
810306,2022-07-30 15:28,59790.64929,MWA,185,2.8,52,84,1.53
810307,2022-07-30 15:43,59790.66415,MWA,185,1.6,29,3,0.06
810307,2022-07-30 15:48,59790.66415,MWA,185,1.6,29,3,0.06
810496,2022-08-02 12:59,59793.54919,MWA,185,1.2,23,54,0.98
810497,2022-08-02 13:19,59793.56316,MWA,154,5.0,73,164,2.40
810497,2022-08-02 13:24,59793.56316,MWA,185,5.0,73,164,2.40
810498,2022-08-02 13:44,59793.57818,MWA,154,1.8,26,41,0.60
810562,2022-08-03 13:10,59794.55567,MWA,118,1.5,17,10,0.12
810563,2022-08-03 13:30,59794.57023,MWA,88,11.2,106,319,3.02
810563,2022-08-03 13:35,59794.57023,MWA,118,11.2,106,319,3.02
810564,2022-08-03 13:50,59794.58501,MWA,216,5.1,116,107,2.45
810564,2022-08-03 13:55,59794.58501,MWA,88,5.1,116,107,2.45
810567,2022-08-03 14:59,59794.63070,MWA,185,0.7,14,24,0.44
810568,2022-08-03 15:18,59794.64711,MWA,154,2.3,34,117,1.71
810568,2022-08-03 15:23,59794.64711,MWA,185,2.3,34,117,1.71
810757,2022-08-06 12:34,59797.53000,MWA,118,2.2,25,-16,-0.19
810759,2022-08-06 13:18,59797.56101,MWA,88,10.0,94,167,1.58
810759,2022-08-06 13:23,59797.56101,MWA,118,10.0,94,167,1.58
810760,2022-08-06 13:38,59797.57632,MWA,216,5.3,122,116,2.65
810760,2022-08-06 13:43,59797.57632,MWA,88,5.3,122,116,2.65
